,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,DOGE,0.0,-0.0019208340000000002,399.998079166,0.0,399.998079166,1.0,2505.0,0.003834,2505.0,0.003834,entry_initial_normal_long
1,4,DOGE,0.0,-0.0034497760000000003,399.99462939,0.0,399.99462939,1.0,4612.0,0.00374,7117.0,0.0037730855697625403,entry_grid_normal_long
2,7,DOGE,0.07641939581284259,-0.003424644,400.0676241418128,0.0,400.0676241418128,1.0,-4518.0,0.00379,2599.0,0.0037730855697625403,close_trailing_long
3,33,DOGE,0.0,-0.0035217600000000005,400.0641023818128,0.0,400.0641023818128,1.0,4785.0,0.00368,7384.0,0.003712764002683213,entry_grid_normal_long
4,35,DOGE,0.03906333527352065,-0.0035297406000000006,400.0996359764863,0.0,400.0996359764863,1.0,-4743.0,0.003721,2641.0,0.003712764002683213,close_trailing_long
5,97,DOGE,0.23039026891363462,-0.00200716,400.32801908539994,0.0,400.32801908539994,1.0,-2641.0,0.0038,0.0,0.003712764002683213,close_grid_long
6,98,DOGE,0.0,-0.001922544,400.3260965413999,0.0,400.3260965413999,1.0,2535.0,0.003792,2535.0,0.003792,entry_initial_normal_long
7,111,DOGE,0.22308000000000103,-0.0019671600000000003,400.5472093813999,0.0,400.5472093813999,1.0,-2535.0,0.00388,0.0,0.003792,close_grid_long
8,134,DOGE,0.0,-0.001923426,400.5452859553999,0.0,400.5452859553999,1.0,2511.0,0.00383,2511.0,0.00383,entry_initial_normal_long
9,161,DOGE,0.0,-0.0034580039999999998,400.5418279513999,0.0,400.5418279513999,1.0,4623.0,0.00374,7134.0,0.003771677880571909,entry_grid_normal_long
10,217,DOGE,0.10114152312868069,-0.0034381228000000003,400.6395313517286,0.0,400.6395313517286,1.0,-4531.0,0.003794,2603.0,0.003771677880571909,close_trailing_long
11,383,DOGE,0.22990247687132132,-0.0020095160000000003,400.8674243125999,0.0,400.8674243125999,1.0,-2603.0,0.00386,0.0,0.003771677880571909,close_grid_long
12,420,DOGE,0.0,-0.0019253760000000001,400.8654989365999,0.0,400.8654989365999,1.0,2507.0,0.00384,2507.0,0.00384,entry_initial_normal_long
13,483,DOGE,0.0,-0.00346125,400.86203768659993,0.0,400.86203768659993,1.0,4615.0,0.00375,7122.0,0.003781680707666386,entry_grid_normal_long
14,485,DOGE,0.05573247851727033,-0.0034328112,400.9143373539172,0.0,400.9143373539172,1.0,-4524.0,0.003794,2598.0,0.003781680707666386,close_trailing_long
15,511,DOGE,0.0,-0.0035298540000000002,400.91080749991715,0.0,400.91080749991715,1.0,4783.0,0.00369,7381.0,0.0037222702179267406,entry_grid_normal_long
16,542,DOGE,0.0,-0.009864888,400.9009426119172,0.0,400.9009426119172,1.0,13588.0,0.00363,20969.0,0.0036624787294824396,entry_grid_normal_long
17,561,DOGE,0.0,-0.027563256,400.87337935591717,0.0,400.87337935591717,1.0,38604.0,0.00357,59573.0,0.003602551432335408,entry_grid_normal_long
18,566,DOGE,0.0,-0.1263101,400.74706925591715,0.0,400.74706925591715,1.0,180443.0,0.0035,240016.0,0.00352545370508015,entry_grid_inflated_long
19,571,DOGE,0.334666607220991,-0.016288956000000004,401.06544690713815,0.0,401.06544690713815,1.0,-23007.0,0.00354,217009.0,0.00352545370508015,close_trailing_long
20,573,DOGE,0.6803034405295443,-0.016370775,401.7293795726677,0.0,401.7293795726677,1.0,-23025.0,0.003555,193984.0,0.00352545370508015,close_trailing_long
21,575,DOGE,1.0734971997365006,-0.016476207200000002,402.7864005652042,0.0,402.7864005652042,1.0,-23063.0,0.003572,170921.0,0.00352545370508015,close_trailing_long
22,577,DOGE,0.91446852372661,-0.016487412,403.6843816769308,0.0,403.6843816769308,1.0,-23124.0,0.003565,147797.0,0.00352545370508015,close_trailing_long
23,593,DOGE,0.3371249310624457,-0.016408608,404.00509799999327,0.0,404.00509799999327,1.0,-23176.0,0.00354,124621.0,0.00352545370508015,close_trailing_long
24,596,DOGE,0.45335676437099826,-0.016444546,404.44201021836426,0.0,404.44201021836426,1.0,-23194.0,0.003545,101427.0,0.00352545370508015,close_trailing_long
25,598,DOGE,0.5699404217439998,-0.016485490000000002,404.99546515010826,0.0,404.99546515010826,1.0,-23219.0,0.00355,78208.0,0.00352545370508015,close_trailing_long
